year,mean_sea_level
2001-09-01,68.98
2001-10-01,57.68
2001-10-01,62.08
2001-10-01,62.48
2001-11-01,51.68
2001-11-01,36.78
2001-11-01,34.58
2001-12-01,43.58
2001-12-01,38.08
2001-12-01,0.08
2001-12-01,-24.02
2002-01-01,-33.92
2002-01-01,-15.32
2002-01-01,-18.82
2002-02-01,-26.82
2002-02-01,-37.32
2002-03-01,-47.32
2002-03-01,-47.12
2002-03-01,-34.22
2002-03-01,-41.42
2002-04-01,-46.32
2002-04-01,-34.92
2002-04-01,-30.92
2002-05-01,-19.32
2002-05-01,-9.42
2002-05-01,-20.52
2002-06-01,-16.72
2002-06-01,-9.72
2002-06-01,31.28
2002-07-01,58.58
2002-07-01,44.28
2002-08-01,31.48
2002-08-01,47.58
2002-08-01,60.78
2002-09-01,77.98
2002-09-01,74.38
2002-09-01,62.48
2002-10-01,62.48
2002-10-01,72.78
2002-10-01,90.38
2002-11-01,63.68
2002-11-01,62.18
2002-11-01,44.58
2002-12-01,40.68
2002-12-01,34.88
2002-12-01,20.28
2003-01-01,-9.12
2003-01-01,-20.32
2003-01-01,-27.82
2003-02-01,-15.62
2003-02-01,-30.02
2003-02-01,-36.42
2003-03-01,-26.32
2003-03-01,-49.42
2003-03-01,-46.62
2003-04-01,-30.92
2003-04-01,-29.62
2003-04-01,-38.82
2003-05-01,-56.22
2003-05-01,-33.62
2003-05-01,-16.62
2003-05-01,-21.42
2003-06-01,-22.42
2003-06-01,-18.32
2003-06-01,-6.72
2003-07-01,14.48
2003-07-01,27.48
2003-07-01,23.38
2003-08-01,36.58
2003-08-01,41.18
2003-08-01,51.28
2003-09-01,58.08
2003-09-01,58.98
2003-09-01,64.58
2003-10-01,64.98
2003-10-01,71.08
2003-10-01,58.28
2003-11-01,51.68
2003-11-01,50.68
2003-11-01,54.88
2003-12-01,45.08
2003-12-01,30.58
2003-12-01,15.58
2004-01-01,-6.72
2004-01-01,-29.12
2004-01-01,-38.02
2004-02-01,-40.42
2004-02-01,-31.52
2004-02-01,-29.52
2004-03-01,-19.52
2004-03-01,-34.82
2004-03-01,-46.82
2004-04-01,-40.02
2004-04-01,-39.02
2004-04-01,-22.42
2004-05-01,-16.72
2004-05-01,-21.72
2004-05-01,0.18
2004-06-01,11.98
2004-06-01,0.68
2004-07-01,13.28
2004-07-01,18.88
2004-07-01,20.68
2004-08-01,46.98
2004-08-01,47.38
2004-08-01,69.08
2004-09-01,54.28
2004-09-01,48.48
2004-09-01,47.08
2004-10-01,69.68
2004-10-01,69.68
2004-10-01,59.98
2004-11-01,37.48
2004-11-01,48.98
2004-11-01,34.08
2004-12-01,37.18
2004-12-01,19.18
2004-12-01,15.78
2005-01-01,-21.82
2005-01-01,-38.32
2005-01-01,-35.42
2005-02-01,-16.22
2005-02-01,-12.82
2005-02-01,-52.12
2005-03-01,-60.22
2005-03-01,-52.42
2005-03-01,-53.32
2005-04-01,-36.42
2005-04-01,-24.02
2005-04-01,-39.22
2005-05-01,-55.42
2005-05-01,-43.12
2005-05-01,-21.22
2005-06-01,-24.42
2005-06-01,-20.32
2005-06-01,-6.92
2005-07-01,-4.12
2005-07-01,1.48
2005-07-01,18.18
2005-08-01,32.18
2005-08-01,30.98
2005-08-01,36.38
2005-08-01,60.28
2005-09-01,72.78
2005-09-01,78.48
2005-09-01,70.28
2005-10-01,75.98
2002-01-01,-17.11
2002-01-01,-19.41
2002-02-01,-30.01
2002-02-01,-33.01
2002-03-01,-48.61
2002-03-01,-59.91
2002-03-01,-43.21
2002-03-01,-46.11
2002-04-01,-38.81
2002-04-01,-29.01
2002-04-01,-31.61
2002-05-01,-23.41
2002-05-01,-14.61
2002-05-01,-21.81
2002-06-01,-13.91
2002-06-01,-4.61
2002-06-01,28.19
2002-07-01,42.89
2002-07-01,56.69
2002-07-01,51.29
2002-08-01,41.69
2002-08-01,53.09
2002-08-01,62.99
2002-09-01,75.79
2002-09-01,69.39
2002-09-01,58.09
2002-10-01,55.69
2002-10-01,71.69
2002-10-01,83.89
2002-11-01,50.29
2002-11-01,55.39
2002-11-01,49.89
2002-12-01,42.19
2002-12-01,32.69
2002-12-01,17.39
2003-01-01,-13.11
2003-01-01,-20.91
2003-01-01,-27.51
2003-02-01,-13.91
2003-02-01,-32.71
2003-02-01,-43.81
2003-03-01,-42.01
2003-03-01,-62.81
2003-03-01,-49.41
2003-04-01,-37.01
2003-04-01,-31.11
2003-04-01,-38.31
2003-05-01,-59.41
2003-05-01,-41.31
2003-05-01,-15.91
2003-05-01,-17.91
2003-06-01,-20.51
2003-06-01,-20.01
2003-06-01,-16.41
2003-07-01,14.49
2003-07-01,29.89
2003-07-01,37.39
2003-08-01,39.99
2003-08-01,40.69
2003-08-01,50.69
2003-09-01,61.89
2003-09-01,65.29
2003-09-01,64.79
2003-10-01,63.29
2003-10-01,62.29
2003-10-01,50.99
2003-11-01,43.99
2003-11-01,55.09
2003-11-01,46.69
2003-12-01,39.59
2003-12-01,21.99
2003-12-01,8.09
2004-01-01,-4.41
2004-01-01,-27.51
2004-01-01,-36.41
2004-02-01,-45.01
2004-02-01,-45.21
2004-02-01,-28.81
2004-03-01,-24.61
2004-03-01,-36.81
2004-03-01,-46.21
2004-04-01,-38.41
2004-04-01,-42.71
2004-04-01,-30.21
2004-05-01,-28.41
2004-05-01,-25.61
2004-05-01,-9.41
2004-06-01,-6.11
2004-06-01,-5.61
2004-06-01,2.09
2004-07-01,9.49
2004-07-01,24.99
2004-07-01,28.89
2004-07-01,35.89
2004-08-01,47.49
2004-08-01,51.59
2004-08-01,72.29
2004-09-01,58.29
2004-09-01,59.39
2004-09-01,52.89
2004-10-01,65.59
2004-10-01,69.99
2004-10-01,59.49
2004-11-01,46.79
2004-11-01,50.29
2004-11-01,35.59
2004-12-01,39.99
2004-12-01,32.09
2004-12-01,20.39
2005-01-01,-8.61
2005-01-01,-27.51
2005-01-01,-33.91
2005-02-01,-24.41
2005-02-01,-18.61
2005-02-01,-48.51
2005-03-01,-48.81
2005-03-01,-48.81
2005-03-01,-47.71
2005-04-01,-34.71
2005-04-01,-25.11
2005-04-01,-37.11
2005-05-01,-47.11
2005-05-01,-39.01
2005-05-01,-27.31
2005-06-01,-28.71
2005-06-01,-16.91
2005-06-01,6.99
2005-07-01,15.29
2005-07-01,8.39
2005-07-01,21.49
2005-08-01,38.79
2005-08-01,30.69
2005-08-01,37.49
2005-08-01,58.89
2005-09-01,74.19
2005-09-01,74.49
2005-10-01,69.79
2005-10-01,76.19
2005-10-01,69.29
2005-10-01,68.29
2005-11-01,75.59
2005-11-01,66.89
2005-11-01,39.69
2005-12-01,29.59
2005-12-01,-10.01
2005-12-01,3.19
2006-01-01,5.09
2006-01-01,-7.51
2006-01-01,-15.41
2006-02-01,-25.21
2006-02-01,-34.51
2006-02-01,-41.21
2006-03-01,-38.21
2006-03-01,-36.01
2006-03-01,-31.51
2006-04-01,-26.41
2006-04-01,-33.61
2006-04-01,-33.41
2006-05-01,-31.21
2006-05-01,-29.61
2006-05-01,-29.81
2006-06-01,-32.71
2006-06-01,-22.51
2006-06-01,-5.51
2006-07-01,-0.71
2006-07-01,22.99
2006-07-01,26.79
2006-08-01,38.09
2006-08-01,47.79
2006-08-01,48.09
2006-09-01,62.09
2006-09-01,55.99
2006-09-01,67.89
2006-10-01,78.79
2006-10-01,68.19
2006-10-01,55.49
2006-10-01,34.39
2006-11-01,44.19
2006-11-01,40.39
2006-12-01,35.29
2006-12-01,21.59
2006-12-01,11.99
2007-01-01,13.49
2007-01-01,-17.61
2007-01-01,-41.61
2007-02-01,-48.81
2007-02-01,-36.21
2007-02-01,-33.11
2007-03-01,-37.71
2007-03-01,-27.61
2007-03-01,-29.21
2007-04-01,-40.71
2007-04-01,-29.61
2007-04-01,-28.21
2007-05-01,-19.61
2007-05-01,-20.71
2007-05-01,-26.11
2007-06-01,-37.81
2007-06-01,-19.21
2007-06-01,-16.71
2007-07-01,4.79
2007-07-01,9.59
2007-07-01,20.79
2007-08-01,33.99
2007-08-01,41.39
2007-08-01,51.69
2007-09-01,57.49
2007-09-01,64.89
2007-09-01,69.99
2007-10-01,66.79
2007-10-01,51.89
2007-10-01,60.39
2007-11-01,48.89
2007-11-01,54.99
2007-11-01,53.19
2007-12-01,32.59
2007-12-01,20.09
2007-12-01,13.39
2007-12-01,14.89
2008-01-01,-0.31
2008-01-01,-5.41
2008-01-01,-11.41
2008-02-01,-27.81
2008-02-01,-36.51
2008-02-01,-46.41
2008-03-01,-35.31
2008-03-01,-24.61
2008-03-01,-20.51
2008-04-01,-24.51
2008-04-01,-21.51
2008-04-01,-32.81
2008-05-01,-20.31
2008-05-01,-16.51
2008-05-01,-33.31
2008-06-01,-7.11
2008-06-01,-3.51
2008-06-01,-7.71
2008-07-01,6.79
2008-07-01,23.99
2008-07-01,40.69
2008-08-01,43.79
2008-08-01,59.29
2008-09-01,57.19
2008-09-01,56.29
2008-09-01,68.59
2008-10-01,61.79
2008-10-01,77.79
2008-10-01,68.29
2008-11-01,44.09
2008-11-01,55.29
2008-11-01,36.99
2008-12-01,43.69
2008-12-01,28.99
2008-12-01,21.49
2009-01-01,22.89
2009-01-01,4.29
2009-01-01,-9.11
2009-02-01,-15.31
2009-02-01,-22.21
2009-03-01,-18.91
2009-03-01,-23.51
2009-03-01,-11.01
2009-04-01,-21.11
2009-04-01,-19.51
2009-04-01,-12.61
2009-05-01,-14.81
2009-05-01,-18.01
2009-05-01,-4.11
2009-06-01,-13.61
2009-06-01,-2.31
2009-06-01,12.69
2009-07-01,26.89
2009-07-01,30.79
2009-07-01,43.39
2009-08-01,66.19
2009-08-01,77.59
2009-08-01,80.09
2009-09-01,90.29
2009-09-01,94.99
2009-09-01,68.69
2009-10-01,111.79
2009-10-01,84.29
2009-10-01,77.09
2009-10-01,70.99
2009-11-01,74.59
2009-11-01,78.39
2009-11-01,88.49
2009-12-01,48.99
2009-12-01,25.29
2009-12-01,10.29
2010-01-01,0.29
2010-01-01,-4.71
2010-01-01,-21.21
2010-02-01,-2.91
2010-02-01,-22.21
2010-02-01,-15.21
2010-03-01,-12.61
2010-03-01,-20.21
2010-03-01,3.69
2010-04-01,0.29
2010-04-01,-13.01
2010-04-01,-19.41
2010-05-01,-17.71
2010-05-01,-14.51
2010-05-01,-8.81
2010-06-01,-2.91
2010-06-01,-9.51
2010-06-01,-1.61
2010-07-01,6.89
2010-07-01,32.99
2010-07-01,39.59
2010-08-01,51.39
2010-08-01,51.89
2010-08-01,51.69
2010-09-01,65.19
2010-09-01,62.99
2010-09-01,70.49
2010-10-01,78.79
2010-10-01,76.99
2010-10-01,79.49
2010-11-01,76.29
2010-11-01,72.79
2010-11-01,58.99
2010-12-01,42.09
2010-12-01,25.79
2010-12-01,23.99
2010-12-01,18.79
2011-01-01,-1.61
2011-01-01,2.19
2011-01-01,-22.01
2011-02-01,-23.51
2011-02-01,-23.61
2011-03-01,-31.71
2011-03-01,-27.61
2011-03-01,-24.71
2011-03-01,-27.61
2011-04-01,-26.71
2011-04-01,-27.61
2011-04-01,-34.41
2011-05-01,-25.61
2011-05-01,-16.51
2011-05-01,-3.51
2011-06-01,1.19
2011-06-01,10.79
2011-06-01,12.09
2011-07-01,20.29
2011-07-01,25.29
2011-07-01,52.89
2011-08-01,61.69
2011-08-01,61.79
2011-08-01,78.69
2011-09-01,83.09
2011-09-01,73.39
2011-09-01,84.99
2011-10-01,90.69
2011-10-01,87.29
2011-10-01,67.29
2011-11-01,77.29
2011-11-01,63.89
2011-11-01,59.69
2011-12-01,55.19
2011-12-01,45.29
2011-12-01,26.69
2012-01-01,14.29
2012-01-01,16.39
2012-01-01,-3.71
2012-02-01,-7.31
2012-02-01,-32.21
2012-02-01,-6.31
2012-03-01,-2.51
2012-05-01,-11.81
2012-05-01,0.69
2012-06-01,0.19
2012-06-01,11.89
2012-06-01,22.49
2012-06-01,21.39
2012-07-01,40.99
2012-07-01,65.79
2012-08-01,75.39
2012-08-01,81.59
2012-08-01,73.19
2012-08-01,82.69
2012-09-01,93.79
2012-09-01,91.59
2012-09-01,108.89
2012-10-01,107.39
2012-10-01,87.09
2012-10-01,64.89
2012-11-01,65.39
2012-11-01,81.79
2012-11-01,77.29
2012-12-01,56.49
2012-12-01,60.69
2012-12-01,44.19
2012-12-01,25.39
2013-01-01,31.89
2013-01-01,21.49
2013-01-01,15.29
2013-02-01,0.09
2013-02-01,1.99
2013-02-01,4.49
2013-03-01,-12.21
2013-03-01,-21.01
2013-04-01,-18.61
2013-04-01,-15.51
2013-04-01,-8.81
2013-04-01,-16.81
2013-05-01,-17.01
2013-05-01,9.29
2013-05-01,13.49
2013-06-01,14.49
2013-06-01,14.29
2008-07-01,31.33
2008-07-01,45.23
2008-08-01,50.03
2008-08-01,55.03
2008-08-01,63.03
2008-09-01,61.43
2008-09-01,61.23
2008-09-01,67.43
2008-10-01,61.03
2008-10-01,76.23
2008-10-01,64.73
2008-11-01,41.33
2008-11-01,54.33
2008-11-01,31.83
2008-12-01,38.53
2008-12-01,20.53
2008-12-01,17.43
2009-01-01,14.03
2009-01-01,0.43
2009-01-01,-18.17
2009-02-01,-17.47
2009-02-01,-21.37
2009-02-01,-26.27
2009-03-01,-25.07
2009-03-01,-24.77
2009-03-01,-17.77
2009-04-01,-16.77
2009-04-01,-20.47
2009-04-01,-16.27
2009-05-01,-10.37
2009-05-01,-21.87
2009-05-01,-14.17
2009-05-01,-12.57
2009-06-01,-11.17
2009-06-01,3.63
2009-06-01,25.43
2009-07-01,32.93
2009-07-01,36.03
2009-07-01,57.13
2009-08-01,71.53
2009-08-01,78.23
2009-08-01,86.03
2009-09-01,87.33
2009-09-01,89.33
2009-09-01,109.13
2009-10-01,88.53
2009-10-01,74.73
2009-10-01,66.03
2009-11-01,73.23
2009-11-01,73.83
2009-11-01,79.23
2009-12-01,62.13
2009-12-01,20.03
2009-12-01,10.13
2010-01-01,-12.87
2010-01-01,-12.97
2010-01-01,-23.87
2010-02-01,-17.57
2010-02-01,-19.77
2010-02-01,-28.57
2010-03-01,-14.07
2010-03-01,-20.07
2010-03-01,-11.37
2010-04-01,1.13
2010-04-01,-8.47
2010-04-01,-18.97
2010-05-01,-22.47
2010-05-01,-19.17
2010-05-01,-6.87
2010-06-01,1.43
2010-06-01,-3.97
2010-06-01,3.43
2010-07-01,13.83
2010-07-01,31.03
2010-07-01,43.03
2010-07-01,49.83
2010-08-01,56.53
2010-08-01,51.83
2010-08-01,58.83
2010-09-01,62.83
2010-09-01,57.03
2010-09-01,68.83
2010-10-01,83.53
2010-10-01,79.33
2010-10-01,72.43
2010-11-01,70.33
2010-11-01,59.03
2010-11-01,41.63
2010-12-01,32.83
2010-12-01,21.43
2010-12-01,14.63
2011-01-01,8.93
2011-01-01,-15.57
2011-01-01,-6.67
2011-02-01,-31.97
2011-02-01,-16.87
2011-02-01,-28.57
2011-03-01,-37.97
2011-03-01,-24.97
2011-03-01,-27.77
2011-04-01,-20.37
2011-04-01,-30.47
2011-04-01,-33.97
2011-05-01,-24.47
2011-05-01,-20.97
2011-05-01,0.13
2011-06-01,0.63
2011-06-01,9.93
2011-06-01,16.83
2011-07-01,21.73
2011-07-01,28.73
2011-07-01,42.53
2011-08-01,63.83
2011-08-01,64.03
2011-08-01,67.63
2011-08-01,91.43
2011-09-01,79.13
2011-09-01,74.63
2011-09-01,92.73
2011-10-01,96.53
2011-10-01,77.83
2011-10-01,73.93
2011-11-01,77.53
2011-11-01,66.23
2011-11-01,51.93
2011-12-01,44.53
2011-12-01,35.03
2011-12-01,23.53
2012-01-01,19.23
2012-01-01,8.93
2012-01-01,-1.07
2012-02-01,-23.87
2012-02-01,-9.67
2012-02-01,0.13
2012-03-01,4.83
2012-03-01,1.93
2012-03-01,-5.27
2012-04-01,-26.47
2012-04-01,-27.57
2012-04-01,-18.27
2012-05-01,-7.87
2012-05-01,-8.37
2012-05-01,12.93
2012-06-01,8.73
2012-06-01,16.83
2012-06-01,21.03
2012-07-01,28.93
2012-07-01,51.13
2012-07-01,70.83
2012-08-01,76.83
2012-08-01,77.43
2012-08-01,72.53
2012-09-01,91.43
2012-09-01,92.13
2012-09-01,100.43
2012-10-01,109.63
2012-10-01,89.53
2012-10-01,68.03
2012-10-01,66.53
2012-11-01,79.33
2012-11-01,69.73
2012-11-01,55.43
2012-12-01,57.53
2012-12-01,42.23
2012-12-01,25.53
2013-01-01,36.43
2013-01-01,21.23
2013-01-01,12.93
2013-02-01,1.43
2013-02-01,-1.57
2013-02-01,7.33
2013-03-01,-8.97
2013-03-01,-11.87
2013-04-01,-7.07
2013-04-01,-12.47
2013-05-01,-14.57
2013-05-01,6.03
2013-05-01,14.23
2013-06-01,19.53
2013-06-01,17.73
2013-06-01,37.43
2013-07-01,33.33
2013-07-01,37.43
2013-07-01,50.83
2013-08-01,63.73
2013-08-01,72.33
2013-08-01,86.13
2013-09-01,83.33
2013-09-01,83.13
2013-09-01,98.83
2013-10-01,116.43
2013-10-01,105.73
2013-10-01,90.83
2013-11-01,80.03
2013-11-01,69.13
2013-11-01,50.63
2013-12-01,46.03
2013-12-01,38.83
2013-12-01,33.23
2013-12-01,31.73
2014-01-01,17.93
2014-01-01,1.13
2014-01-01,-1.17
2014-02-01,4.63
2014-02-01,8.23
2014-03-01,-7.97
2014-03-01,7.93
2014-03-01,12.13
2014-03-01,4.33
2014-04-01,11.03
2014-04-01,5.53
2014-04-01,6.93
2014-05-01,2.63
2014-05-01,7.93
2014-05-01,13.33
2014-06-01,19.63
2014-06-01,39.53
2014-06-01,47.73
2014-07-01,42.93
2014-07-01,57.03
2014-07-01,67.43
2014-08-01,81.63
2014-08-01,97.83
2014-08-01,97.83
2014-09-01,105.63
2014-09-01,102.13
2014-09-01,94.53
2014-10-01,95.13
2014-10-01,101.43
2014-10-01,99.13
2014-11-01,95.43
2014-11-01,67.13
2014-11-01,57.33
2014-12-01,46.13
2014-12-01,57.13
2014-12-01,54.03
2015-01-01,32.63
2015-01-01,17.83
2015-01-01,10.63
2015-02-01,-0.37
2015-02-01,-15.67
2015-02-01,4.23
2015-03-01,9.93
2015-03-01,2.33
2015-03-01,1.33
2015-04-01,4.13
2015-04-01,9.23
2015-04-01,16.33
2015-05-01,20.13
2015-05-01,19.93
2015-05-01,19.53
2015-05-01,21.33
2015-06-01,25.03
2015-06-01,34.13
2015-06-01,48.93
2015-07-01,64.53
2015-07-01,69.33
2015-07-01,72.63
2015-08-01,92.33
2015-08-01,103.93
2015-08-01,112.33
2015-09-01,116.13
2015-09-01,109.53
2015-09-01,120.13
2015-10-01,117.93
2015-10-01,102.43
2015-10-01,104.73
2015-11-01,109.23
2015-11-01,113.03
2015-11-01,102.93
2015-12-01,85.43
2015-12-01,78.03
2015-12-01,68.83
2016-01-01,31.73
2016-01-01,19.33
2016-01-01,14.63
2016-02-01,8.53
2016-02-01,14.23
2016-02-01,14.53
2016-03-01,-3.17
2016-03-01,-19.37
2016-03-01,4.53
2016-04-01,3.93
2016-04-01,2.63
2016-04-01,6.53
2016-05-01,10.23
2016-05-01,9.53
2016-05-01,18.53
2016-06-01,36.03
2016-06-01,47.13
2016-06-01,38.63
2016-06-01,49.83
2016-07-01,62.33
2016-07-01,63.23
2016-07-01,77.03
2016-08-01,92.03
2016-08-01,97.53
2016-08-01,103.63
2016-09-01,108.93
2016-09-01,106.93
2016-09-01,110.33
2016-02-01,9.61
2016-02-01,16.51
2016-03-01,0.41
2016-03-01,-16.89
2016-03-01,5.71
2016-04-01,1.41
2016-04-01,1.41
2016-04-01,4.71
2016-05-01,8.61
2016-05-01,11.31
2016-05-01,17.31
2016-06-01,35.21
2016-06-01,47.21
2016-06-01,39.71
2016-06-01,50.91
2016-07-01,62.81
2016-07-01,62.81
2016-07-01,75.41
2016-08-01,89.71
2016-08-01,96.11
2016-08-01,102.71
2016-09-01,110.31
2016-09-01,107.61
2016-09-01,112.91
2016-10-01,114.61
2016-10-01,117.71
2016-10-01,110.91
2016-11-01,93.51
2016-11-01,95.21
2016-11-01,99.11
2016-12-01,90.21
2016-12-01,73.61
2016-12-01,71.41
2017-01-01,32.51
2017-01-01,23.21
2017-01-01,18.81
2017-02-01,-8.79
2017-02-01,-4.19
2017-02-01,-0.99
2017-03-01,-16.59
2017-03-01,-13.69
2017-03-01,-8.49
2017-04-01,-2.99
2017-04-01,-8.69
2017-04-01,-5.39
2017-05-01,2.31
2017-05-01,-6.79
2017-05-01,2.21
2017-06-01,10.41
2017-06-01,17.61
2017-06-01,15.41
2017-07-01,23.51
2017-07-01,43.31
2017-07-01,61.31
2017-08-01,80.51
2017-08-01,72.91
2017-08-01,88.21
2017-08-01,79.41
2017-09-01,92.41
2017-09-01,95.31
2017-09-01,100.91
2017-10-01,111.51
2017-10-01,102.61
2017-10-01,90.61
2017-11-01,82.71
2017-11-01,74.81
2017-11-01,64.11
2017-12-01,63.41
2017-12-01,56.91
2017-12-01,27.11
2018-01-01,22.61
2018-01-01,27.51
2018-01-01,19.41
